"PLAYER","POS","LG","TEAM","AGE","$$$","PA","AB","IP","HR","RBI","SB","AVG","W","SV","ERA","WHIP"
"Sherrill, George","RP","AL","BAL","31","$13.63","","","55","","","","","2","21","3.55","1.26",
"Stairs, Matt","1B,LF","AL","TOR","40","$13.54","457","399","","21","75","2","0.275","","","","",
"Percival, Troy","RP","AL","TBA","38","$13.28","","","50","","","","","3","19","3.60","1.20",
"Ellis, Mark","2B","AL","OAK","31","$13.17","631","562","","14","72","6","0.264","","","","",
"Thomas, Frank","DH","AL","TOR","40","$13.11","494","417","","24","79","2","0.258","","","","",
"Hernandez, Felix","SP","AL","SEA","22","$13.08","","","180","","","","","10","0","3.83","1.34",
"Gomez, Carlos","LF,RF","AL","MIN","22","$13.06","380","347","","5","31","23","0.249","","","","",
"Cabrera, Asdrubal","2B","AL","CLE","22","$12.94","587","525","","8","53","13","0.263","","","","",
"Borowski, Joe","RP","AL","CLE","37","$12.20","","","55","","","","","3","21","4.04","1.34",
"Huff, Aubrey","1B,DH","AL","BAL","31","$12.18","555","500","","15","69","4","0.269","","","","",
"Byrd, Marlon","CF,RF","AL","TEX","30","$12.08","520","472","","12","61","6","0.275","","","","",
"Dejesus, David","CF","AL","KCA","28","$12.04","608","538","","8","57","8","0.274","","","","",
"Overbay, Lyle","1B","AL","TOR","31","$11.67","594","527","","16","72","3","0.264","","","","",
"Longoria, Evan","3B","AL","TBA","22","$11.42","469","417","","18","63","4","0.267","","","","",
"Hill, Aaron","2B","AL","TOR","26","$11.17","587","534","","11","61","5","0.272","","","","",
"Renteria, Edgar","SS","AL","DET","32","$10.89","522","467","","7","51","8","0.279","","","","",
"Carmona, Fausto","SP","AL","CLE","24","$10.84","","","190","","","","","12","0","4.07","1.39",
"Barton, Daric","1B","AL","OAK","22","$10.24","551","478","","11","61","4","0.274","","","","",
"Blake, Casey","3B","AL","CLE","34","$10.04","497","442","","14","66","4","0.264","","","","",
"Duncan, David","1B","AL","NYA","28","$10.00","505","452","","22","76","3","0.239","","","","",
"Betancourt, Yuniesky","SS","AL","SEA","26","$9.89","524","492","","7","51","8","0.271","","","","",
"Scott, Luke","RF","AL","BAL","30","$9.88","469","411","","19","64","4","0.252","","","","",
"Blalock, Hank","3B","AL","TEX","27","$9.69","469","420","","15","63","4","0.263","","","","",
"Gload, Ross","1B","AL","KCA","32","$9.65","424","389","","9","56","3","0.295","","","","",
"Rolen, Scott","3B","AL","TOR","33","$9.62","503","449","","14","63","4","0.263","","","","",
"Sexson, Richie","1B","AL","SEA","33","$9.54","551","481","","21","78","1","0.245","","","","",
"Anderson, Garret","LF,DH","AL","LAA","36","$9.48","447","414","","12","65","2","0.279","","","","",
"Izturis, Maicer","2B,3B","AL","LAA","27","$9.39","417","368","","4","38","11","0.283","","","","",
"Jones, Todd","RP","AL","DET","40","$9.39","","","55","","","","","3","18","4.18","1.38",
"Cust, Jack","RF,DH","AL","OAK","29","$9.13","611","490","","23","77","1","0.238","","","","",
"Aybar, Eric","2B,SS","AL","LAA","24","$9.11","339","312","","3","30","17","0.262","","","","",
"Gathright, Joey","LF","AL","KCA","27","$9.10","329","289","","0","21","18","0.280","","","","",
"Harden, Rich","SP","AL","OAK","26","$8.93","","","100","","","","","6","0","3.42","1.24",
"Eckstein, David","SS","AL","TOR","33","$8.61","608","550","","3","47","7","0.275","","","","",
"Mora, Melvin","3B","AL","BAL","36","$8.43","457","405","","11","53","7","0.259","","","","",
"Pettitte, Andy","SP","AL","NYA","36","$8.22","","","180","","","","","11","0","4.23","1.40",
"Raburn, Ryan","2B","AL","DET","27","$8.15","349","309","","12","46","8","0.260","","","","",
"Harris, Brendan","2B,SS","AL","MIN","27","$8.06","506","457","","10","56","5","0.263","","","","",
"Walker, Jamie","RP","AL","BAL","36","$8.02","","","55","","","","","2","15","3.94","1.33",
"Blanton, Joe","SP","AL","OAK","27","$7.99","","","195","","","","","10","0","4.36","1.38",
"Kotchman, Casey","1B","AL","LAA","25","$7.93","436","384","","9","55","2","0.288","","","","",
"Bartlett, Jason","SS","AL","TBA","28","$7.91","493","441","","5","40","11","0.261","","","","",
"Weaver, Jered","SP","AL","LAA","25","$7.78","","","175","","","","","10","0","4.40","1.36",
"Escobar, Kelvim","SP","AL","LAA","32","$7.49","","","150","","","","","9","0","4.13","1.37",
"Slowey, Kevin","SP","AL","MIN","24","$7.43","","","160","","","","","8","0","4.51","1.31",
"Iwamura, Akinori","3B","AL","TBA","29","$7.40","522","460","","9","48","8","0.253","","","","",
"Reyes, Al","RP","AL","TBA","38","$7.23","","","55","","","","","3","5","3.29","1.10",
"Lopez, Jose","2B","AL","SEA","24","$7.21","539","500","","9","56","4","0.262","","","","",
"Crosby, Bobby","SS","AL","OAK","28","$7.20","469","421","","8","47","10","0.247","","","","",
"Giambi, Jason","DH","AL","NYA","37","$7.02","434","357","","21","64","2","0.234","","","","",
"Betancourt, Rafael","RP","AL","CLE","33","$6.87","","","55","","","","","3","4","3.09","1.12",
"Chavez, Eric","3B","AL","OAK","30","$6.84","471","413","","15","60","4","0.244","","","","",
"Robertson, Nate","SP","AL","DET","30","$6.83","","","175","","","","","10","0","4.38","1.39",
"Drew, J.D.","RF","AL","BOS","32","$6.78","457","387","","10","57","3","0.268","","","","",
"Garza, Matthew","SP","AL","TBA","24","$6.76","","","180","","","","","10","0","4.34","1.40",
"Quentin, Carlos","RF","AL","CHA","25","$6.67","412","358","","12","50","4","0.263","","","","",
"Perez, Rafael","RP","AL","CLE","26","$6.63","","","75","","","","","4","4","3.40","1.28",
"Broussard, Ben","1B","AL","TEX","31","$6.33","369","335","","12","49","3","0.269","","","","",
"Kennedy, Ian","SP","AL","NYA","23","$6.31","","","155","","","","","10","0","4.24","1.41",
"Crisp, Coco","CF","AL","BOS","28","$5.94","304","273","","4","30","10","0.278","","","","",
"Neshek, Patrick","RP","AL","MIN","27","$5.85","","","65","","","","","3","4","3.37","1.23",
"Duchscherer, Justin","SP","AL","OAK","30","$5.77","","","140","","","","","7","0","4.27","1.34",
"Napoli, Michael","C","AL","LAA","26","$5.75","412","347","","15","50","6","0.233","","","","",
"Baldelli, Rocco","CF","AL","TBA","26","$5.75","296","271","","9","37","7","0.268","","","","",
"Johjima, Kenji","C","AL","SEA","32","$5.58","457","422","","8","54","1","0.274","","","","",
"German, Esteban","2B,3B","AL","KCA","30","$5.53","340","296","","3","29","10","0.275","","","","",
"Millar, Kevin","1B,DH","AL","BAL","36","$5.47","459","390","","14","58","2","0.249","","","","",
"Hernandez, Ramon","C","AL","BAL","32","$5.43","444","400","","10","50","3","0.262","","","","",
